Transaction_ID;Fecha_Venta;Cliente_Nombre;Ciudad_Origen;Categoria_Producto;Unidades_Vendidas;Precio_Unitario_USD;Descuento_Aplicado
TXN-10001;2024/10/26;Tech Corp;Bucaramanga;Mobiliario;62;1322.09;0.01
TXN-10002;2025/08/06;Global Trade;Bucaramanga;Electrónica;9;489.36;0.22
TXN-10003;2024/04/06;Global Trade;Cali;Oficina;35;1235.05;0.11
TXN-10004;2024/01/13;Bio Health;Cali;Software;75;1395.83;0.27
TXN-10005;2025/05/29;Neo Systems;Medellín;electronica;16;1189.81;N/A
TXN-10006;2024/08/04;Bio Health;Bucaramanga;Mobiliario;79;1285.96;0.03
TXN-10007;2024/10/23;Acme SAS;Barranquilla;Oficina;44;1168.81;0.27
TXN-10008;30-01-2024;Eko Group;Barranqilla;electronica;48;1328.4;0.25
TXN-10009;2026/09/05;Acme SAS;Bogotá;Mobiliario;27;266.31;0.18
TXN-10010;2024/02/12;Acme SAS;Medellín;Servicios;17;813.11;0.19
TXN-10011;2025/12/08;Acme sas ;medeLLin; Servicios ;88;1187.91;0.13
TXN-10012;2025/06/15;Neo Systems;Medellín;Servicios;83;112.1;0.14
TXN-10013;2026/05/07;Acme SAS;Medellín;Servicios;73;469.64;0.05
tx_ 10014;2025/06/12;Bio-Health;Medellín; Servicios ;84;1060.75;0.17
TXN-10015;2025/04/21;Eco Group;Bogotá;Software;41;845.02;0.18
TXN-10016;2026/09/13;Neo Systems;Bucaramanga;Software;87;615.48;0.11
TXN-10017;2024/02/25;Global Trade;Bogotá;Servicios;15;951.96;0.02
TXN-10018;2025/12/14;Global Trade;Barranquilla;Electrónica;85;525.42;0.08
TXN-10019;2024/10/16;Tech Corp;Cali;Servicios;69;1466.51;0.15
TXN-10020;2024/10/20;Acme SAS;Bogotá;Servicios;81;473.71;0.0
TXN-10021;2024/02/12;Edu Corp;Bucaramanga;Software;56;523.15;0.3
TXN-10022;2024/04/30;Acme SAS;Medellín;Electrónica;10;647.33;0.05
tx_ 10023;2026/06/05;Eko Group;bogota;Software;87;1123,2;0.25
TXN-10024;2024/05/23;Bio Health;Medellín;Mobiliario;61;1006.61;0.16
TXN-10025;2026/07/26;Tech Corp;Barranquilla;Servicios;67;521.98;0.06
TXN-10026;2024/06/08;Acme SAS;Barranquilla;Electrónica;70;1068.82;0.02
TXN-10027;2024/09/21;Bio Health;Cali;Oficina;43;1064.85;0.13
TXN-10028;2025/06/06;Neo Systems;Bucaramanga;Servicios;16;466.94;0.01
TXN-10029;2026/12/04;Edu Corp;cali;Sftware;29;1025.54;0.16
TXN-10030;2024/08/27;Acme SAS;Cali;Electrónica;37;456.92;0.08
TXN-10031;2024/05/26;Edu Corp;Bucaramanga;Electrónica;51;1151.24;0.14
TXN-10032;2025/01/10;Neo Systems;Bogotá;Servicios;81;935.07;0.01
TXN-10033;2026/03/18;Edu Corp;Bogotá;Servicios;29;131.95;0.01
TXN-10034;2024/01/06;Eco Group;Bogotá;Electrónica;47;624.28;0.26
TXN-10035;2026/05/22;Neo Systems;Bogotá;Electrónica;41;526.43;0.24
TXN-10036;2024/10/18;Acme SAS;Cali;Software;37;736.81;0.08
TXN-10037;2024/08/16;Eco Group;Cali;Software;78;985.27;0.09
TXN-10038;2026/02/11;Edu Corp;Cali;Mobiliario;76;62.56;0.02
TXN-10039;2024/01/20;Tech Corp;Cali;Servicios;93;54.76;0.1
TXN-10040;2024/11/14;Acme SAS;Bucaramanga;Software;55;1351.4;0.1
TXN-10041;2024/06/28;Tech Corp;Medellín;Software;79;1270.93;0.03
TXN-10042;2024/01/27;Acme SAS;Medellín;Electrónica;77;575.37;0.28
TXN-10043;2025/01/31;Edu Corp;Barranquilla;Mobiliario;23;380.64;0.26
TXN-10044;2025/12/08;Bio Health;Medellín;Servicios;48;328.45;0.21
TXN-10045;2025/05/19;Tech Corp;Bucaramanga;Servicios;4;1308.98;0.11
TXN-10046;2025/05/18;Edu Corp;Cali;Electrónica;85;728.6;0.05
